altitude_bin,aircraft_make_model,wildlife_number_struck_actual,effect_impact_to_flight,effect_indicated_damage,aircraft_number_of_engines,when_phase_of_flight,conditions_precipitation,remains_of_wildlife_collected,wildlife_size,conditions_sky,pilot_warned_of_birds_or_wildlife,feet_above_ground,is_aircraft_large
0,22,9,1,0,1.0,4,0,0,1,0,1,0,0
0,4,4,0,1,1.0,1,0,1,2,1,1,30,0
0,1,3,1,1,1.0,1,0,1,2,1,0,3,0
0,0,6,1,0,1.0,0,0,1,1,0,0,10,0
0,14,2,1,1,1.0,2,0,0,2,1,1,0,0
1,15,8,1,1,1.0,5,0,0,1,1,0,4000,0
0,2,5,0,1,1.0,1,0,0,2,1,0,500,0
0,0,3,0,1,1.0,0,0,0,1,2,0,50,0
0,5,7,1,1,1.0,1,0,0,1,2,0,7,0
0,1,10,2,0,1.0,4,0,1,2,0,0,0,0
0,25,3,0,1,1.0,1,0,0,1,2,0,200,0
0,22,9,3,1,1.0,4,0,1,2,1,0,0,0
0,4,10,1,1,1.0,1,1,0,1,2,0,300,0
0,0,10,1,1,1.0,2,0,1,1,0,0,0,0
0,0,8,1,1,1.0,2,1,1,1,0,1,0,0
0,15,3,1,0,1.0,2,0,1,1,0,1,0,0
0,0,6,1,0,1.0,0,0,0,1,0,0,20,0
0,26,9,2,0,1.0,4,0,1,0,0,1,0,0
0,21,3,0,1,1.0,2,0,1,2,1,0,0,0
0,15,2,0,1,1.0,4,0,1,1,1,1,0,0
0,21,9,1,0,1.0,1,0,1,1,1,1,30,0
0,0,7,0,1,1.0,1,0,1,0,1,0,800,0
0,1,7,1,0,1.0,1,0,1,1,0,1,10,0
0,1,9,0,0,1.0,0,0,0,1,1,1,400,0
0,27,3,0,1,1.0,1,0,1,2,0,0,150,0
0,13,7,1,0,1.0,1,1,0,1,2,0,750,0
0,7,7,1,0,1.0,4,0,1,1,0,1,0,0
0,7,8,1,1,1.0,1,0,1,0,0,1,10,0
0,0,5,1,0,1.0,2,0,1,1,2,1,0,0
0,0,3,0,1,1.0,0,0,0,0,1,1,300,0
0,28,4,1,1,1.0,0,0,0,1,1,0,1,0
0,7,8,3,0,1.0,2,0,0,1,1,1,0,0
0,13,10,1,0,1.0,0,0,1,1,1,0,500,0
0,13,2,1,1,1.0,1,0,0,1,0,0,20,0
0,0,3,1,0,1.0,2,0,0,1,0,0,0,0
0,14,4,2,0,1.0,4,0,1,1,0,0,0,0
1,0,2,0,1,1.0,0,0,0,2,1,0,3800,0
0,5,10,1,1,1.0,1,0,0,1,1,0,200,0
0,0,6,0,1,1.0,0,0,1,1,2,0,25,0
0,5,4,1,0,1.0,2,0,1,0,2,1,0,0
0,5,2,1,1,1.0,0,0,1,1,1,0,19,0
0,0,7,1,1,1.0,1,0,0,1,1,1,100,0
0,15,8,1,0,1.0,1,0,0,1,0,0,100,0
0,4,3,1,0,1.0,1,0,1,1,1,0,100,0
0,0,88,1,0,1.0,1,0,0,1,2,1,30,0
0,0,36,1,1,1.0,2,0,1,1,0,1,0,0
0,0,16,1,0,1.0,1,0,0,1,1,0,15,0
0,21,51,0,1,1.0,4,1,1,2,2,0,0,0
0,4,63,0,0,1.0,0,0,0,1,2,1,600,0
0,21,92,1,0,1.0,2,0,1,1,1,0,0,0
0,29,74,3,0,1.0,1,0,1,1,0,1,2,0
0,6,39,1,1,1.0,1,0,0,1,1,1,200,0
1,1,1,1,1,1.0,1,0,0,0,1,0,1300,0
0,30,1,1,1,1.0,1,0,0,1,1,1,3,0
0,4,1,1,1,1.0,0,0,0,0,2,0,400,0
0,7,1,1,1,1.0,1,0,0,1,0,0,50,0
0,9,1,1,0,1.0,0,3,0,1,2,0,300,0
0,9,1,1,0,1.0,1,0,0,1,1,1,400,0
0,9,1,1,1,1.0,0,0,0,2,0,1,3,0
1,9,1,1,0,1.0,0,0,0,1,0,1,1600,0
0,0,1,1,1,1.0,2,0,0,2,1,0,0,0
0,7,1,0,0,1.0,0,0,0,0,1,0,75,0
0,0,1,0,0,1.0,0,0,0,1,1,0,400,0
0,0,1,0,1,1.0,0,0,0,0,0,0,300,0
0,8,1,4,1,1.0,1,0,0,0,1,0,30,0
0,8,1,0,0,1.0,0,0,0,0,1,1,50,0
1,0,1,0,1,1.0,5,0,0,2,0,1,2000,0
0,31,1,1,1,1.0,1,0,0,1,1,0,5,0
0,0,1,1,1,1.0,1,0,0,0,1,0,1000,0
1,6,1,1,0,1.0,5,0,0,1,1,1,3000,0
0,3,1,1,1,1.0,0,0,0,0,1,1,400,0
0,4,1,1,0,1.0,2,1,0,0,2,0,0,0
0,6,1,1,1,1.0,0,0,0,2,1,1,20,0
0,9,1,1,0,1.0,4,0,0,1,1,0,0,0
0,1,1,1,1,1.0,2,0,0,0,0,1,0,0
0,9,1,1,0,1.0,1,0,0,1,2,0,300,0
0,6,1,1,0,1.0,1,0,0,1,1,0,100,0
0,0,1,1,1,1.0,1,0,0,1,0,0,300,0
0,0,1,2,0,1.0,4,0,0,1,1,0,0,0
0,1,1,1,0,1.0,1,0,0,1,1,0,200,0
0,7,1,2,1,1.0,4,1,0,1,2,0,0,0
0,1,1,1,0,1.0,0,0,0,2,0,0,5,0
0,1,1,1,0,1.0,0,0,0,1,0,0,300,0
0,1,1,1,1,1.0,1,0,1,2,0,0,15,0
0,4,1,1,0,1.0,2,0,0,0,0,1,0,0
0,6,1,1,1,1.0,1,0,0,1,1,1,50,0
0,0,1,3,1,1.0,0,0,0,1,1,0,600,0
0,0,1,1,1,1.0,2,0,0,1,1,1,0,0
0,9,1,1,0,1.0,1,0,0,1,1,0,30,0
0,32,1,1,1,1.0,4,2,0,2,2,1,0,0
0,1,1,0,1,1.0,0,0,0,1,1,1,200,0
0,9,1,0,0,1.0,0,0,0,0,1,0,300,0
0,0,1,3,0,1.0,2,0,0,1,0,0,0,0
0,9,1,1,1,1.0,0,0,0,1,1,0,100,0
1,5,1,1,1,1.0,1,0,0,2,1,0,1500,0
1,0,1,1,0,1.0,1,0,0,1,1,0,2300,0
0,9,1,0,0,1.0,1,0,0,1,1,0,100,0
1,1,1,1,0,1.0,5,0,0,0,1,0,2000,0
0,2,1,1,0,1.0,4,0,0,1,1,0,0,0
0,0,1,1,0,1.0,1,0,0,1,1,0,50,0
0,1,1,1,0,1.0,0,0,0,1,1,0,100,0
1,0,1,1,0,1.0,1,0,0,1,1,0,1500,0
0,22,1,1,0,1.0,0,0,0,1,1,0,20,0
1,0,1,1,0,1.0,0,0,0,0,1,0,1700,0
0,0,1,1,0,1.0,0,0,0,2,1,1,50,0
0,9,1,0,1,1.0,0,0,0,0,0,0,20,0
0,33,1,1,0,1.0,4,0,0,1,2,0,0,0
0,1,1,1,0,1.0,2,1,0,0,2,0,0,0
0,1,1,1,1,1.0,2,0,0,1,1,0,0,0
1,4,1,1,1,1.0,5,0,0,1,1,0,3000,0
1,0,1,1,1,1.0,1,0,0,0,0,0,1600,0
1,0,1,1,0,1.0,1,0,0,0,2,1,1500,0
1,0,1,0,0,1.0,5,0,0,0,0,0,3000,0
0,8,1,0,1,1.0,0,0,0,2,0,0,500,0
0,34,1,1,1,1.0,1,0,0,2,1,1,200,0
1,9,1,1,1,1.0,1,0,0,2,1,0,1800,0
0,31,1,3,0,1.0,1,0,0,0,1,0,30,0
0,1,1,1,0,1.0,1,0,0,1,1,0,90,0
0,9,1,1,1,1.0,0,0,0,1,1,1,100,0
0,0,1,0,1,1.0,0,0,0,2,1,0,700,0
0,9,1,1,0,1.0,2,0,0,1,1,1,0,0
0,20,1,1,1,1.0,1,0,1,2,1,0,100,0
0,3,1,1,0,1.0,5,0,0,1,1,0,500,0
0,0,1,1,0,1.0,1,0,0,1,1,1,15,0
0,0,1,1,1,1.0,0,0,0,1,2,0,300,0
0,9,1,1,0,1.0,2,0,0,1,0,1,0,0
0,1,1,2,1,1.0,4,0,0,2,1,0,0,0
0,1,1,1,1,1.0,1,1,0,0,2,0,100,0
0,35,1,1,0,1.0,1,0,0,0,1,1,600,0
0,7,1,0,0,1.0,0,0,0,1,1,0,10,0
0,36,1,1,1,1.0,1,0,0,1,2,1,500,0
1,7,1,1,1,1.0,5,0,0,0,1,0,3500,0
0,6,1,1,0,1.0,1,0,0,1,0,0,100,0
0,0,1,1,0,1.0,2,0,0,2,1,0,0,0
0,9,1,1,0,1.0,0,0,0,0,1,1,100,0
0,9,1,1,1,1.0,1,0,0,1,1,0,400,0
0,0,1,1,1,1.0,0,0,0,2,1,0,500,0
1,7,1,1,0,1.0,1,0,0,2,1,0,2000,0
0,8,1,0,1,1.0,1,0,0,1,1,0,500,0
0,20,1,0,1,1.0,0,0,0,0,0,1,800,0
0,0,1,2,1,1.0,4,0,0,1,1,0,0,0
0,21,1,1,0,1.0,2,0,0,1,1,0,0,0
0,0,1,1,0,1.0,4,0,0,0,0,0,0,0
0,0,1,2,1,1.0,4,0,0,1,2,0,0,0
0,1,1,1,1,1.0,2,0,0,1,0,1,0,0
0,0,1,1,0,1.0,4,0,1,1,1,0,0,0
0,9,1,0,0,1.0,1,0,0,1,1,0,200,0
0,1,1,2,0,1.0,4,0,0,0,0,0,0,0
0,0,1,1,0,1.0,2,0,0,1,1,1,0,0
1,37,1,3,1,1.0,1,0,0,2,0,0,1500,0
0,1,1,1,0,1.0,1,0,0,1,1,0,50,0
0,9,1,1,0,1.0,1,1,0,1,2,0,30,0
0,0,1,2,1,1.0,4,0,0,0,0,0,0,0
0,1,1,0,1,1.0,0,0,0,1,0,0,200,0
0,38,1,1,0,1.0,1,0,0,1,0,1,300,0
0,1,1,3,1,1.0,2,0,0,2,1,0,0,0
0,9,1,1,0,1.0,1,0,0,0,0,1,640,0
0,8,1,1,1,1.0,2,0,0,1,0,0,0,0
0,8,1,0,0,1.0,0,0,0,1,1,0,400,0
0,9,1,0,1,1.0,2,0,0,0,1,1,0,0
0,9,1,1,1,1.0,0,0,0,0,0,1,400,0
0,13,1,1,1,1.0,2,0,0,2,0,0,0,0
1,1,1,0,1,1.0,1,0,0,2,1,0,1200,0
0,1,1,1,1,1.0,0,0,0,1,0,0,300,0
0,0,1,1,0,1.0,0,0,0,1,1,1,50,0
0,0,1,1,1,1.0,0,0,0,0,0,0,100,0
0,39,1,1,1,1.0,5,0,0,1,0,0,133,0
0,9,1,1,1,1.0,0,0,0,0,0,1,15,0
0,9,1,2,0,1.0,4,0,0,1,1,0,0,0
0,9,1,1,0,1.0,1,0,0,1,1,0,20,0
0,0,1,2,0,1.0,4,0,0,1,0,1,0,0
0,0,1,1,0,1.0,2,0,0,1,1,0,0,0
0,33,1,1,0,1.0,1,0,0,1,1,0,500,0
0,9,1,4,1,1.0,2,0,0,2,1,0,0,0
0,0,1,1,1,1.0,0,0,0,1,1,0,1000,0
1,0,1,1,0,1.0,1,0,0,1,1,1,2000,0
